course number,course name,credits,prereqs,desc
ADGD I199,"Independent Study in ADGD",0.0-12.0,"No Prereq","Self-directed within the area of study requiring intermittent consultation with a designated instructor."
ADGD I299,"Independent Study in ADGD",0.0-12.0,"No Prereq","Self-directed within the area of study requiring intermittent consultation with a designated instructor."
ADGD I399,"Independent Study in ADGD",0.0-12.0,"No Prereq","Self-directed within the area of study requiring intermittent consultation with a designated instructor."
ADGD I499,"Independent Study in ADGD",0.0-12.0,"No Prereq","Self-directed within the area of study requiring intermittent consultation with a designated instructor."
ADGD T180,"Special Topics in Advertising Design",0.0-12.0,"No Prereq","Topics decided upon by faculty will vary within the area of study."
ADGD T280,"Special Topics in Advertising Design",0.0-12.0,"No Prereq","Topics decided upon by faculty will vary within the area of study."
ADGD T380,"Special Topics in Advertising Design",0.0-12.0,"No Prereq","Topics decided upon by faculty will vary within the area of study."
ADGD T480,"Special Topics in Advertising Design",0.0-12.0,"No Prereq","Topics decided upon by faculty will vary within the area of study."
ANIM 100,"Foundational Tools for Animation & VFX",3.0,"No Prereq","Students will learn fundamentals of core tools in Digital Animation & Visual Effects related disciplines. Tools introduced include pixel based image manipulation tools (such as Photoshop), vector based graphics tools (such as Illustrator), video and animation compositing tools (such as After Effects and Nuke) and 3D CGI tools (such as Maya). Animation and visual effects related applications introduced include digital image alteration, digital matte painting, three dimensional type creation, and other foundational animation and visual effects tasks."
ANIM 110,"Digital Imaging for Animation & VFX",3.0,"ANIM 100 [Min Grade: D] or DIGM 100 [Min Grade: D] or PHTO 141 [Min Grade: D] or VSCM 200 [Min Grade: D] or GMAP 101 [Min Grade: D]","Students learn foundational image acquisition, lighting and processing techniques and principles utilized in Animation & VFX disciplines. Topics covered include digital still and video imaging and lighting fundamentals for reference and background gathering, texture creation, normal map sampling, spherical and high dynamic range acquisition, location survey and more."
ANIM 115,"Introduction to Production with Animation & VFX",3.0,"IDM 211 [Min Grade: D] or ANIM 100 [Min Grade: D] or PHTO 141 [Min Grade: D] or VSCM 200 [Min Grade: D] or DIGM 100 [Min Grade: D]","This course introduces students to many of the core principles, techniques and technologies employed in the creation of media incorporating animation and visual effects. The basics of planning and shooting live action, greenscreen and still image media are introduced in conjunction with design, creation, animation and compositing of both 2D and 3D assets."
ANIM 140,"Computer Graphics Imagery I",3.0,"DIGM 100 [Min Grade: D] or VSCM 200 [Min Grade: D] or ANIM 100 [Min Grade: D] or PHTO 141 [Min Grade: D] or VRIM 100 [Min Grade: D] or GMAP 101 [Min Grade: D] or DSMR 100 [Min Grade: D]","Students learn to represent 3D objects and spaces in 2D media using a variety of drawing and computer graphic techniques. This course lays important foundations for subsequent courses in 3D computer modeling and animation."
ANIM 141,"Computer Graphics Imagery II",3.0,"DIGM 110 [Min Grade: D] or ANIM 140 [Min Grade: D]","This course will introduce students to the principles and techniques of 3D virtual scene building for animation, visualization and game development."
ANIM 145,"Realtime Visualization",3.0,"ANIM 140 [Min Grade: D] or ARCH 134 [Min Grade: D] or INTR 245 [Min Grade: D]","In this course, students learn principles and techniques of scene building in realtime, 3D interactive graphics engines for use in animation, visualization, game design, VR, AR and other forms of digital media."
ANIM 152,"Multimedia Timeline Design",3.0,"ANIM 100 [Min Grade: D] or DIGM 100 [Min Grade: D] or PHTO 141 [Min Grade: D] or VSCM 200 [Min Grade: D] or GMAP 101 [Min Grade: D]","Introduces basic design concepts and tools to create time based 2D and 3D multimedia. Addresses issues from pre-production planning, through, post-production and delivery; emphasis on time-based multimedia."
ANIM 155,"Previsualization for Animated Production",3.0,"ANIM 140 [Min Grade: D]","Previsualization is the all-important design and planning process that takes place before embarking on the production of an animation or visual effects piece. In this course, student will learn and practice the creation, motivation and use of pre-production plans, concept art, mood boards, shot storyboarding, animatics, performance reference and other topics integral to the previsualization process."
ANIM 211,"Animation I",3.0,"ANIM 140 [Min Grade: D]","Explores computer animation with an introduction to concepts of 3D animation. Includes narrative structure, storyboarding, and development. Emphasizes aesthetic, technical and conceptual issues. Requires students to create short, 3D animations."
ANIM 212,"Animation II",3.0,"ANIM 211 [Min Grade: D]","Builds on topics introduced in ANIM 211 Animation I, incorporating advanced animation techniques such as inverse kinematics and dynamics. Requires students to propose, design, and produce a short animation."
ANIM 214,"Digital Character Creation",3.0,"ANIM 212 [Min Grade: D]","This course introduces all aspects of digital character creation within a 3D environment. Students will learn how to model and rig humanoid characters optimal for both real time and raytraced render environments. Topics covered will include modeling and topology for characters, FK/IK rigs, and production workflows for character integration."
ANIM 215,"History of Animation",3.0,"No Prereq","Students learn the pre-cursors to modern animation and the evolution of the art since the beginning of the 20th century. Concepts in both 2D and 3D animation will be covered."
ANIM 220,"Digital Compositing I",3.0,"ANIM 100 [Min Grade: D] or DIGM 100 [Min Grade: D] or PHTO 141 [Min Grade: D] or VSCM 200 [Min Grade: D] or VRIM 100 [Min Grade: D]","Examines digital compositing possibilities through the manipulation and recombination of acquired and produced digital imagery, including study of digital image and video formats, color space, live action digital matte painting, Greenscreen/Bluescreen compositing, rotoscope masking and 2D tracking."
ANIM 221,"Digital Compositing II",3.0,"ANIM 110 [Min Grade: D] and ANIM 211 [Min Grade: D] and ANIM 220 [Min Grade: D]","Examines 2D and 3D digital compositing possibilities through the manipulation and recombination of acquired and produced digital imagery, including 2D/3D Integration, 3D Matchmoving, and High Dynamic Range Imagery."
ANIM 225,"Digital Matte Painting",3.0,"ANIM 220 [Min Grade: D]","Students will build upon existing compositing and animation knowledge to create digital matte painting visual effects shots using 2D and 3D approaches. This course will teach students the process of creating dramatic scenes that leverage movement, depth, and scale."
ANIM 231,"Scripting for Animation and Visual Effects",3.0,"CS 140 [Min Grade: D] or CS 171 [Min Grade: D]","This course explores modern scripting languages utilized in Animation and Visual Effects operating systems and software tools that are integral to artist productivity and production pipeline scalability."
ANIM 240,"Lighting & Surfacing",3.0,"ANIM 141 [Min Grade: C]","Students will continue to build on core skills by diving deeper into texture and shader development as well as lighting techniques for the purposes of creating photorealistic digital imagery. Several render engines will be introduced allowing students to recognize core concepts universal to lighting and surfacing and improving production versatility."
ANIM 247,"Organic Modeling I",3.0,"ANIM 212 [Min Grade: D]","This course presents an intensive exploration of human character modeling and rigging for animation, with emphasis on human anatomy and articulation. Through lectures, demonstrations, class critiques and individual feedback from peers and the instructor, students will learn best practices for modeling human forms for animation and why these approaches are valid. Although the focus is on humans, the concepts and techniques presented for organic modeling, sculpting and rigging apply to all organic characters."
ANIM 248,"Advanced Lighting",3.0,"ANIM 141 [Min Grade: D] or DIGM 141 [Min Grade: D]","Students will learn to integrate production-oriented lighting techniques into animation. Techniques utilizing both point-based and raytraced global illumination will be covered, and how to optimize pipelines for animation. Basic shader development will also be covered."
ANIM 250,"Professional Practices for Animation & VFX",3.0,"ANIM 212 [Min Grade: C] or ANIM 221 [Min Grade: C] or ANIM 247 [Min Grade: C]","Provides a professional orientation to the animation and visual effects industry through an exploration of a variety of projects and studies. In addition to lecture and discussions, students learn to take active part in role plays and presentations to achieve an understanding of the importance of team building, team work, and team management in all phases of animation and visual effects productions from proposals to final delivery, as well as personal development and promotion through personal learning, development of work demonstration materials."
ANIM 314,"Character Animation I",3.0,"ANIM 247 [Min Grade: D]","In this course, students learn humanoid rigging, body mechanics, body language and theories of acting with emphasis on having characters emote and perform with deliberateness of action. The course will culminate with a two character pantomime animation that students will create with a partner."
ANIM 315,"Character Animation II",3.0,"ANIM 314 [Min Grade: B]","Students learn human facial deformation and movement as it’s applied to thought driven character performance."
ANIM 347,"Organic Modeling II",3.0,"ANIM 247 [Min Grade: B] and ANIM 315 [Min Grade: B]","In this course, students will learn organic modeling of creatures, both real and imagined, for animation, taking into consideration anatomy, articulation and the fundamentals of creature design. In addition, we’ll look at various concepts and techniques for rigging animals and creatures as you’ll develop and present your own creature, modeled, sculpted, rigged, and posed in a final animation."
ANIM 350,"Experimental Animation Lab",3.0,"ANIM 314 [Min Grade: D]","In this lab course, students explore Animation as an art form. Animation's characteristic of being a malleable art form opens the possibility of limitless, novel expressions of ideas. Students explore how Animation can uniquely affect the human spirit toward higher levels of conceptual consideration and comprehension as a multi-sensory language that can speak to audiences universally and post-linguistically."
ANIM 388,"Spatial Data Capture",3.0,"DIGM 212 [Min Grade: D] or ANIM 212 [Min Grade: D] or GMAP 367 [Min Grade: D]",""
ANIM 410,"Advanced Compositing",3.0,"ANIM 221 [Min Grade: D] and ANIM 212 [Min Grade: D]","Students learn to create detailed visual effects, and the best methods to integrate them into live-action plates. Drawing on existing compositing and animation knowledge, students will work in groups to produce short visual effects sequences."
ANIM 411,"Advanced Animation",3.0,"ANIM 212 [Min Grade: D]","This course explores a wide range of visual effects assets, both practical and synthetic. Projects focus on the creation of a comprehensive short animation."
ANIM 412,"Advanced Visual Effects",3.0,"ANIM 212 [Min Grade: D]","In this course students will study advanced techniques and software in order to successfully recreate natural phenomenon, simulations, and effects that can be used in the Film, Animation, or Gaming industries."
ANIM 435,"Technical Directing for Animation",3.0,"ANIM 231 [Min Grade: C-]","Students learn toolsets for technical direction of animated films and visual effects. The topics covered can include Python scripting, pipeline development and integration, the creation of custom shaders to streamline production processes, and technical direction for lighting, crowds, or other relevant disciplines in the animation and visual effects industry."
ANIM I199,"Independent Study in Animation",0.0-12.0,"No Prereq","Self-directed within the area of study requiring intermittent consultation with a designated instructor."
ANIM I299,"Independent Study in Animation",0.0-12.0,"No Prereq","Self-directed within the area of study requiring intermittent consultation with a designated instructor."
ANIM I399,"Independent Study in Animation",0.5-12.0,"No Prereq","Self-directed within the area of study requiring intermittent consultation with a designated instructor."
ANIM I499,"Independent Study in Animation",0.0-12.0,"No Prereq","Self-directed within the area of study requiring intermittent consultation with a designated instructor."
ANIM T180,"Special Topics in Animation",0.0-12.0,"No Prereq","Topics decided upon by faculty will vary within the area of study."
ANIM T280,"Special Topics in Animation",0.0-12.0,"No Prereq","Topics decided upon by faculty will vary within the area of study."
ANIM T380,"Special Topics in Animation",0.0-12.0,"No Prereq","Topics decided upon by faculty will vary within the area of study."
ANIM T480,"Special Topics in Animation",3.0,"No Prereq","Topics decided upon by faculty will vary within the area of study."
ARCH 107,"Foundation Design I",2.0,"No Prereq","Introduces basic design principles through investigation of abstract and applied design projects using two-dimensional media. Exercises heighten observation and graphic skills."
ARCH 108,"Foundation Design II",2.0,"ARCH 107 [Min Grade: C]","Investigates basic design principles through abstract and applied design projects in two-dimensional and three-dimensional media. Design exercises will advance understanding of the design process by exploring conceptual ideas through graphic and oral communication."
ARCH 109,"Foundation Design III",2.0,"ARCH 108 [Min Grade: C]","Investigates basic design principles that emphasize the inter-relationship between the scale of the human body and its movement within three-dimensional space. More in-depth design exercises will address the design process, development of a conceptual idea and a higher-level graphic and oral presentation."
ARCH 141,"Architecture and Society I",3.0,"No Prereq","Examines the evolution of Western architectural thought, form, space, and structures in light of changing human values and institutions. Covers Western architecture from the prehistoric era through the Romanesque, and contemporary architecture in Asia and Central America as well as Islamic architecture in the Middle East and Spain."
ARCH 142,"Architecture and Society II",3.0,"ARCH 141 [Min Grade: C-]","Examines the evolution of Western architectural thought, form, space and structures in light of changing human values and institutions. Course covers early monumental architecture of the Western Hemisphere and then considers the evolution of Western architecture from the "Dark Ages" through the development and spread of Renaissance architecture across Europe and Latin America."
